"454410788,2024-12-21T07:55:54Z,1403/10/01 11:25,بهرام,bahramp,twit,#کمرجان داريم به لحظه موعود نزديك ميشيم🦾"
"454410768,2024-12-21T07:55:41Z,1403/10/01 11:25,دکتر مرادی اتحاد,moradi51,quote,در این بازار صعودی خفنر؟؟؟؟؟؟"
"454410761,2024-12-21T07:55:39Z,1403/10/01 11:25,Iskandar,alexander2024,twit,#دانا \nدانا و شاخص از آغاز رشد اخیر بورس"
"454410758,2024-12-21T07:55:34Z,1403/10/01 11:25,جُرج,simpletrader,twit,#خپارس سرانه خرید حقیقی بیش از 250 میلیون!"
"454398338,2024-12-20T14:56:58Z,1403/09/30 18:26,DARIUS,dariusboss,retwit,#شاخص_بورس #شبندر \n🌺در آخرین جمعه پائیزی \n💓امیدوارم نگاه پرمهرخدا\n🌸همراه لحظه‌هاتون\n🏵️سلامتی ونیکبختی\n🌼گوارای وجـودتـون\n🌹بارش برکت ونعمت\n🌺جاری در زندگیتون\n🌺یلدا تون  مبارک"
"454410739,2024-12-21T07:54:58Z,1403/10/01 11:24,رضا ۳۲۱,iranian123,twit,#زپارس این لعنتی چرا با خودش درگیره ؟!!!! شاخص به سه میلیون رسید ، این سم همچنان درحال عقبگرد !!!!"
"454410734,2024-12-21T07:54:55Z,1403/10/01 11:24,Valizadeh--na,valizadeh--na,quote,#شاخص_بورس \nاتفاق بالاتر از این که ۴ سال از تورم عقب هستیم و قیمت آپارتمانی که فروختم سال ۹۹ الان ۵ برابر شده \nشما هم تکلیف ت باخودت معلوم نیست\nسهامداری \nنوسانگیری"
"454410715,2024-12-21T07:54:30Z,1403/10/01 11:24,Omid9190,omid9190,twit,#ثعمرا \nامیدوارم به حرف امید خان گوش کرده باشید\nخرید ممنوع روند تا حدی نزولی\nوارد فروش نشوید \nهنوز تکلیف سهم مشخص نیست\nاحتمال یک خبر بد وجود دارد"
"454410708,2024-12-21T07:54:20Z,1403/10/01 11:24,یوز پلنگ آسیایی,yaemamreza2,twit,#شاخص_بورس \n\nتا پایان سال نسبت به خرید مایحتاج اصلی و ضروری روزانه مثل برنج ،رب ،روغن، حبوبات ،قند وشکر،ماکارانی، مرغ،گوشت،شوینده و بهداشتی و از همه مهمتر دارو اقدام کنید\nسال آینده سال سختی خواهد بود\n\nپلنگ_گیلان\n۱ دیماه ۱۴۰۳"
"454410694,2024-12-21T07:53:46Z,1403/10/01 11:23,Paxipix,amirxi,twit,#قاسم خرید در منفی 3 ، به تعداد 50 هزار تا ، الله برکت ورسین . عالیه - 1 دی ماه..."
