"454577607,2024-12-27T07:55:41Z,1403/10/07 11:25,سورنا,soorena.so,twit,#قلرست ،سلام، صبح زیبای شما بخیر و شادی \nمن و قلرست ،هم سفریم \nمقصدمان ، شهر عشق و آرزوها"
"454577601,2024-12-27T07:55:28Z,1403/10/07 11:25,economista,economista,twit,#کالا با دید میانمدتی جواهری هست بی همتا"
"454577590,2024-12-27T07:54:25Z,1403/10/07 11:24,بابک,stargate,twit,#شاخص_بورس\nدوستان گول حرفا رو نخورید خیلی مواظب باشید جا موندن بهتر از گیر افتادنه"
"454577584,2024-12-27T07:54:16Z,1403/10/07 11:24,سرمایه گذار موفق,bayram1355,twit,#کگل تاصیکو کجا رفته ،این تنبل کجا مونده ؟\nواقعا تفاوت سهم با سهم رو نگاه!!"
"454577511,2024-12-27T07:52:28Z,1403/10/07 11:22,reza,rezarajabi_11,quote,بابا تو دیگه کی هستی\nاین همه میگی میخواد پرواز کنه و بترکونه و پروازم آرزوست، آخرش میگی آخر سال 1000 ؟؟؟؟🤔🤔\nخیلی از ماها رو 1000 خریدیم داداش گووولم. شووومااا پارسال می گفتی تا آخر سال 2800🤔🤔جناب حسنزادتون می گفت 5400🤔🤔  راضی به زحمتتون نیستیم به خدا 😧😔😔😔\nخودرو  خیلی سهمای دیگه تو یک ماه گذشته نزدید 100% بالا رفتن 😢😢😢 دمت گرم با این همه روحیه که میدی و جو مثبت واسه سهم ایجاد می کووونی عزیزم 😣😣😣\nپس شووومااا همونی هستی که پارسال همه رو تشویق به خرید می کردی و خودت خالی کردی و الان اومدی پایین خریدی که خیلی خوشحالی که تا آخر سال قراره 1000 بشه 🤔🤨😧😢 نوش جونت دااادااا 👍🤬 حلالت باشه 👍🙏😔😔\nتازه اگر بازار مثبت باشه، اگر ثنور 1000 هم بشه تا آخر سال، باز هم سهامدار ثنور ضرر می کنه 🤔😔😢\nتازه با این اتفاقاتی که داره تو خاورمیانه داره میوفته هیچ اعتباری به آخر سال نیست عزیزم 🤔🤔🤨🤨😔😢 چون هیچ معلوم نیست که یک روز دیگه هم چه اتفاقی قراره بیوفته دااادااا 🤔🤔🤨🤨😔😧"
"454577506,2024-12-27T07:52:21Z,1403/10/07 11:22,مرتضی 110,bours110,quote,#کرازی ،بزودی معلوم میشه کی واق واق می کنه..\n\nگفتم اینجا سوال می کنم از تو بیسواد جواب بده قضاوت با دوستان : \n\nاگر کرازی بد هست تو اینجا چه غلطی می کنی ؟؟ اینو جواب بده ؟؟!! علیه السلام هستی و برای نجات بشریت اومدی ؟؟ جواب بده قضاوت با دوستان ...\n\nگفتی بده پس برو دیگه ما هم فهمیدیم ، فقط یادگاری داشته باش اینو روزی در همینجا عددی از کرازی میبینی که وشات از حدقه میزنه بیرون البته اون وقت که دیر هم نیست امثال تو از این سایت یا خارج شدند یا با نام کاربری دیگر ظهور می کنند ..\n\nکرازی یکی از سهام‌های خوب بازار هست و به زودی این قیمتها خاطره خواهد شد ( یادگاری ) به امید خدا ..."
"454577478,2024-12-27T07:51:14Z,1403/10/07 11:21,......asc,aso......,twit,#شاخص_بورس فروشنده های  دلواپس         انتظاردارن بیاد پایین بخرن     ولی بالیدری گروه پالایشی وصندوقهای اهرمی    آتیش بازی داریم     هنوز اول راهیم 🔥🔥🔥🔥🔥🔥🔥ازروند صعودی لذت ببرید"
"454577473,2024-12-27T07:51:10Z,1403/10/07 11:21,امیدوار,hjjt,quote,فعلا که با این افزایش قیمت ارز ،داره بسمت ۴۰ملیارد دلاری شدن میره"
"454577461,2024-12-27T07:49:38Z,1403/10/07 11:19,گیو,azarnosh54,twit,#پتایر \nصورت سود و زیان در تحلیل بنیادی پتایر\n\nصورت سود و زیان پتایر در چهار دوره‌ی مالی گذشته به شرح جدول زیر است. طبق جدول زیر سود خالص پتایر در پایان سال مالی ۱۴۰۲، ۵۷۰ میلیارد تومان است. همچنین پیش‌بینی می‌شود شرکت در دوره ۱۲ ماهه منتهی به ۱۴۰۳/۱۲/۲۹ مبلغ ۷۴۷ میلیارد تومان سود خالص بسازد."
"454577450,2024-12-27T07:48:42Z,1403/10/07 11:18,محمد حقیقی,hamead,twit,#فصبا هنوز این سهم برای بازار شناخته نشده، در آنروز مطمعن باشید دیگه خرید در این قیمتها رویایی خواهد شد پر سود باشید"
