"454005325,2024-12-03T07:55:33Z,1403/09/13 11:25,یتیم خانه ایران,timework,twit,#کرازی سهامدار عمده شرکت فرزند موسوی اردبیلی است."
"035228bc-cab5-4443-8e1b-1de4592facdc,,,,,desktop,"
"454005322,2024-12-03T07:55:32Z,1403/09/13 11:25,حسین بخششی,hossein1615,twit,حالا سکه و دلار بفروشید بیایید سهم بخرید که یه موقع از بازاری جا نمونید."
"454005314,2024-12-03T07:55:25Z,1403/09/13 11:25,ریچارد شیردل,richard177,twit,#ودی دقت کردید هر موقع صف فروش شده \nپایانی هم کامل پر شده \nقشنگ معلومه یه سناریو کثیف دارن برا سهم \n5 سال سهامدار خرد و خون به جیگر کردند کافی نیست براشون \nتو این بازار با یه کم حمایت هم صف خرید میشه هم حقیقی میاد سمت سهم\nولی خب \nحقوقی این سهم دلش میخواد کلا بازی دست خودش باشه\nسهامدار خرد هم ذزه ای براشون اهمیت نداره\nانگار حقوقی مقابل سهامدار خرد هست"
"454001723,2024-12-03T06:39:31Z,1403/09/13 10:09,drogon,drogon,retwit,#شلرد دوستان یک خبر مهم و عالی هم هست گفتم خدمت عزیزان گفته بشه با صحبتهایی که با مدیریت اجرایی شرت انجام شده گویا در قطعی گاز امسال کاتالیست لردگتن تعویض میشه و همین موضوع باعث رشد تولید تا ۹۰ تا ۱۰۰٪ ظرفیت خواهد شد و همچنین تا پایان سال هم کمپرسور وارد و نصب خواهد شد که ظرفیت تولید به بالای ۱۱۰٪ خواهد رسید و میتوان گفت به ظرفیت کامل خواهیم رسید برای سال اینده انشالله دوستان این خبرها بسیار عالی هست و سهامداران صبور این موضوع را در معاملات در نظر بگیرید خلاصه مفت ندید سهمتونو که این همه صبر داره جواب میده عزیزان"
"454005287,2024-12-03T07:55:12Z,1403/09/13 11:25,Mahmood,mahmood10,twit,#وخارزم مال دزدی هم اینطوری نمیفروشن !!!!!!"
"454005275,2024-12-03T07:54:59Z,1403/09/13 11:24,محسن,ehsan1347,quote,#شاروم \nروی مقاومت استاتیک و دینامیکی خودش است در اینجا بهتر است حداکثر ۳۰ درصد نقد شوید و منتظر شکستن مقاومت باشید بعد از تثبیت خرید نمایید در صورت اصلاح پایین تر خرید کنید"
"454005261,2024-12-03T07:54:40Z,1403/09/13 11:24,sadegh2020,sadeghkheirani,twit,#شاخص_بورس مارکت دیگه جون بالا رفتن نداره و یکی از مهمترین دلایل شل شدن روند صعودی قطعا کم کردن دامنه نوسان برای اصلاح هست که اجازه ندادن در تایم فریم ماهانه و هفتگی اصلاح کامل بزنه و افرادی زیادی سوار موج هستند شاید با اصلاح زمانی این موضوع حل بشه.\nاصلاح بزودی رخ میده میشه برای خرید کرد نباید عجله کرد فعلا بازار یکی دو ماهی گیره"
"454005238,2024-12-03T07:54:29Z,1403/09/13 11:24,همراز,zolfaghari,twit,#شاخص_بورس"
"454005234,2024-12-03T07:54:21Z,1403/09/13 11:24,صالحی,salehi51,twit,#شستا \nوقتی دلار حدودا ۱۸ هزار تومن بود شاخص روی دو میلیون دویست بود الان دلار ۷۰ تومن است شاخص حداقل باید روی ۶ میلیون باشه ببیند چه بلای سر صنعت این مملکت امده😪"
"454005219,2024-12-03T07:54:02Z,1403/09/13 11:24,toofan,toofan1390,twit,#زاگرس افشا رو باید اصلاح کنه به الف"
