"454329466,2024-12-17T07:56:06Z,1403/09/27 11:26,Saham negar,sahamnegar2,twit,#وشمال  تونستین اضافه کنین و لذت ببرین این هم عیدی از پیش نوش جان دنبال کنندگان عزیز\nمیریم تا عید شاسی بلند بخریم با سودش"
"035228bc-cab5-4443-8e1b-1de4592facdc,,,,,desktop,"
"454329463,2024-12-17T07:56:04Z,1403/09/27 11:26,دنیای تجارت,samandana,twit,#خودرو با درود فراوان بازار تازه فهمیده قیمت در بورس تهران چقدر خنده داره که بطور ولع ناکی داره خرید میکنه و گاهی اوقات هم می پره گلوش و نمی تونه قورت بده و این باعث شده که تازه اگر قیمت خودرو 1000 تومان هم بشه صفهای خرید چند صد میلیونی براش چیده بشه. تنها راه دولت هم برای تامین نقدینگی بورس هست یعنی نگران نباشید چند تا منفی فقط برای آب خوردن هست که از گلوشون بره پایین حداقل تا مرداد سال بعد روند صعودی برقراره و قیمتهای چندین برابری را خواهیم دید با شاخص بالای ده میلیونی."
"454329460,2024-12-17T07:55:57Z,1403/09/27 11:25,وارن باخت,falsify,quote,اگه کسی بیت کوین رو آبان 1400در اوج قیمت یعنی حدود 1800 خریده باشه و تو این سه یال دست بهش نزده باشه، امروز با قیمت حدود 8میلیار 450درصد تو سوده، این که دوستان هی میگن ریسک داره، بله اگه کسی به طمع یک شبه پولدار شدن هر شت کوینی رو بخره و خودش رو خوراک هنگا کنه، که همه جا این ریسک هست و اونجا هزار برابر بیشتر"
"454329449,2024-12-17T07:55:46Z,1403/09/27 11:25,alex,alex1818,quote,من خالی کردم به موقعش سوار ذوب میشم"
"454329442,2024-12-17T07:55:27Z,1403/09/27 11:25,سهامدار خرد,saham433,quote,چون قیمت سهم کمتر از ناو هست، بسته به شرایط بازار ممکنه کم بشه یا نشه. پارسال که همون روز اول به اندازه تقسیم سود رشد کرد."
"454329432,2024-12-17T07:55:08Z,1403/09/27 11:25,امیر ب,trader96,quote,فروش حقوقی معمولا در سقف قیمت روز انجام میشه و سهم به صف فروش نمیره.بازار دستوری داره تعدیل میشه تا مثل سال ۹۹ هیجان کاذب ایجاد نشه."
"454329429,2024-12-17T07:55:07Z,1403/09/27 11:25,تنهاترین سردار,fala,twit,#حفاری جهان سوم که میگن یعنی ما \n.....فقط ما .خود خود ما .....اصلا واژه جهان سوم ...ما به دنیا اموختیم"
"454329412,2024-12-17T07:54:46Z,1403/09/27 11:24,کارزار ,aadam,twit,#شاخص_بورس اینا دارن پولهای ما رو انبار می کنن برای ورود ترامپ و درگیری با ترامپ الدنگ"
"454329404,2024-12-17T07:54:36Z,1403/09/27 11:24,نکته,tsetmc1357,twit,#وبهمن \nوبهمن در گزارش ۹ ماهه ۳۲ تومن سود ساخته بود که با واگذاری خودرو،فملی،فولاد و همچنین یک مقداری معاملات و سود سهام سودی که تا اینجا قطعی ساخته ۷۶ تومن هست!!!!\nنکته بعدی اینه که زیر مجموعه های غیر بورسی که مالک اصلی خود وبهمن هست سود تقسیمی رو در صورت مالی ۱۲ ماهه نشون میدن که از مهمترین زیرمجموعه های غیر بورسی میشه به دادوستداریا و سرمایه گذاری آوین اشاره کرد علاوه بر این که دیگر زیرمجموعه ها میتونن سود خوبی تقسیم کنن.\nاگر تقسیم سود شرکت های غیر بورسی مثل سال گذشته بیش از ۵۰۰ میلیارد باشه میشه گفت میتون این سود ۷۶ تومنی وبهمن تا ۱۰۰ تومان هم افزایش پیدا کنه.\nیعنی سهمی با سود سازی بین ۷۶ تا ۱۰۰ تومن الان با قیمت ۳۰۰ تومن داره معامله میشه!!!!"
"454329396,2024-12-17T07:54:34Z,1403/09/27 11:24,Saman hosseini,samaan4343,twit,#پالایشی_یکم .مهم شنبه مجمع تقسیم سود عالی وپرداخت فوری صف خرید تا لحظاتی دیگر. خود دانید."
