"454876313,2025-01-06T07:55:42Z,1403/10/17 11:25,سارا,saaraa_ghorbani,twit,#شکام \n🔴 ریختن صف_خرید 🔴\nشکام حجم:30,457,236\nپیش گشایش"
"454876310,2025-01-06T07:55:41Z,1403/10/17 11:25,سرنزا,noslem,twit,#ثفارس سلام هم گروهی ها همه صف خرید هستن . من امروز خریدم"
"454876307,2025-01-06T07:55:38Z,1403/10/17 11:25,حیدر,heidar60,twit,#ثبهساز من که فقط منتظر روز مجمع هستم\nپخش آنلاین هم داره\nآبرویی از مدیران این شرکت ببرم که تا آخر عمر فراموش نکنن\nاون از واحد مالی فشل که عرضه یک صورت مالی حسابرسی شده رو نداره\nباور کنید اصلا افزایش سرمایه نمیدونن چیه\nخلاصه که عجب روزی بشه روز مجمع"
"454876293,2025-01-06T07:55:04Z,1403/10/17 11:25,Amirove1,amirove1,twit,#آبین خداروشکر"
"454876287,2025-01-06T07:54:49Z,1403/10/17 11:24,محمد طاها,mohammadtaha007,quote,تو صف خرید خالی کردن دیگ قدیمی شده.. تو صف فروش میخرن میفروشن که شما فکر کنین دارن جمع میکنن.. این بازی جدیدشونه."
"454876279,2025-01-06T07:54:45Z,1403/10/17 11:24,مهندس محمود علیمحمدی,alimahmood1234,quote,عجله نکن واسه بالا رفتن کبافق.\nشعار ما اینه تا سال ۱۴۲۰ با کبافق😂😂😂"
"454876256,2025-01-06T07:54:20Z,1403/10/17 11:24,مجید ح,nima50,twit,#آسیاتک ای وای ای وای😅🚀🚀🚀"
"454876251,2025-01-06T07:54:09Z,1403/10/17 11:24,رضا فرخی,speedy,twit,#واحیا / نخستین نشست خبري شركت مجتمع صنايع و معادن احيا سپاهان با اصحاب رسانه\" فردا دوشنبه 17ديماه ساعت 14 مشاهده انلاين از طریق لينك \nhttps://www.aparat.com/ehya_sepahan/live"
"454876238,2025-01-06T07:53:56Z,1403/10/17 11:23,Sunrise1404,sunrise1404,twit,#شاخص_بورس 🔴هیچ نظارت سیستمی و غیرسیستمی توسط سازمان بورس روی نمادها نیست. الگوریتمها همه روشن و هر کسی با هر کدی و با هر حجمی هر کاری دلش میخاد روی نمادها انجام میده. اگر‌ پشت نماد هم به نهادهای حاکمیتی مثل ستاد اجرایی و بنیاد و آستان قدس و ... هم گرم باشه که دیگه هیچ! نخریس از زمان عرضه اولیه پارسال ۲۰٪ ریخته. هنوز نظارتی روی آن نیست."
"454876224,2025-01-06T07:53:49Z,1403/10/17 11:23,عالیس,alis1402,twit,#شبندر منفی ۳ شتران درو کنید رحم نکنید"
