"454060830,2024-12-06T07:28:37Z,1403/09/16 10:58,حسین بخششی,hossein1615,twit,#شتران منفی و مثبت شدن بازار به این مسائل نیست بستگی داره اراده ایی برای حمایت بازار هست یا نه ."
"035228bc-cab5-4443-8e1b-1de4592facdc,,,,,desktop,"
"454060817,2024-12-06T07:28:14Z,1403/09/16 10:58,Don Corleone,doncorleone,twit,#سمگا \nسهم ۳۴۰ تومانی سمگا امسال حداقل سهمی ۱۰۰ تا ۱۵۰ سود خواهد داشت\nسوای ارزش ذاتی بالای ۴۰ همت ، پی بر ای سهم هم در بازار کمترین است"
"454060810,2024-12-06T07:28:08Z,1403/09/16 10:58,دهه شصتی,testjafar,twit,#شاخص_بورس #خودرو #شپنا\nامروز هزینه سرویس سالانه شوفاژ خونه را دادم\nسال 1400 حدود 500 هزار تومان\nسال 1401 حدود 700 هزار تومان\nسال 1402 حدود 1.2 میلیون تومان\nو امروز 2 میلیون\n\nاین چند سال همه چیز رفت بالا بجز سهام\n\nخدا بحالت تو اون دنیا رحم کنه که چه خیانتی به این کشور و مردم کردی"
"454060806,2024-12-06T07:27:24Z,1403/09/16 10:57,Ali555,alipor55,twit,#وبملت ....اقایان ......ما هیچ مشکلی با صادرات نداریم .....بحث صادرات را ببرین به پیج خودش ...لطفا"
"454060798,2024-12-06T07:26:42Z,1403/09/16 10:56,حسین بخششی,hossein1615,quote,این گزارش قبلا حسابرسی نشده آمده بود الان حسابرسی شده آمده است."
"454060794,2024-12-06T07:26:32Z,1403/09/16 10:56,Khodaverdi,behnam6053,twit,#شاخص_بورس ضعف دولت مرکزی یعنی س و ر یه \nع را ق ، ا ف غا ن ستان ، ل ی ب ی و ...\nهنوزم انتقاد از دولت مرکزی رو حق مردم می‌دونم ولی رویای براندازی ممنوع \nبا تمام این وقایع منطقه بازم میگم سرتون به کار خودتون باشه ، ما همون هایی هستیم که در اوج موشک پرانی در این بازار ماندیم و گرفتیم الان دیگه خیلی بیشتر باید حواستون به کار باشه"
"454060791,2024-12-06T07:26:19Z,1403/09/16 10:56,Don Corleone,doncorleone,twit,#لازما \nشمارش معکوس برای تایید گزارش توجیهی افزایش سرمایه توسط حسابرس آغاز شد"
"454060779,2024-12-06T07:24:51Z,1403/09/16 10:54,سهراب کریمی,kamal100,quote,#شاخص_بورس - با سلام : نه سهم خوبی نیست مجموع کل سود پرداختی توی این ده سال به 200 تومان(دوهزار ریال) نمی رسد .من 6 بار وارد این سهم شدم و هر باز مفتحضانه شکست و خروج زدم .در صورتیکه فقط در راه شیری (کهکشان) پروژه نگرفته است که آنهم بزودی میسر میگردد. 😜"
"454060750,2024-12-06T07:22:09Z,1403/09/16 10:52,Don Corleone,doncorleone,twit,#لپیام \nشمارش معکوس برای انتشار گزارش توجیهی افزایش سرمایه آغاز شد"
"454049208,2024-12-05T07:06:12Z,1403/09/15 10:36,Ehsan,edge,retwit,#شاخص_بورس \n\nحالا اگه ما شنبه, سهامی که از ضرر دراومدن رو بفروشیم,بعدش شاخص میره برای 3 میلیون واحد, از اون طرفم اگه نگه داریم, بورس میریزه و دوباره میریم توی ضرر و بقیه میگن نباید طمع میکردید.کلا بورس ما بازار عجیبیه"
