"454938636,2025-01-08T07:33:41Z,1403/10/19 11:03,bikalam *,bikalam,twit,#چدن --  با این حجمی که داره هر روز میزنه به اهداف بالای 300 میرسه.....\nسهم رو باید تو منفی شکار کرد"
"454807610,2025-01-04T09:20:34Z,1403/10/15 12:50, Alireza,ali6500400,retwit,#ونیرو  ونیرو 1403/10/15"
"454938620,2025-01-08T07:33:31Z,1403/10/19 11:03,بهرام نامدار,bahram2030,twit,#خگستر نکته ای تکنیکالی و جالب عرض کنم :\nشاخص گروه خودرو در غیاب غول گروه ( خودرو ) مقاومت استاتیکی مهمی را امروز زد ....\n\n.........................................."
"454938611,2025-01-08T07:33:24Z,1403/10/19 11:03,Farhad6g,farhad6g,twit,#کمنگنز خود حقوقی اومد با ۱۵۰ هزار تا رنج منفی کشید"
"454938605,2025-01-08T07:33:09Z,1403/10/19 11:03,پدرام ss,pedramaria22,twit,#بموتو سود سهم واریز نشده هنوز"
"454938582,2025-01-08T07:32:45Z,1403/10/19 11:02,li@,a1122,quote,این بسادگی حجم پر نمیکنه وقت میخواد تا پرکنه حقوقی الان باید بفروشه"
"454938578,2025-01-08T07:32:39Z,1403/10/19 11:02,تحلیل از من سوال از شما,homeyra70,twit,#حفارس \nمیتواند صف خرید سنگین شود ( با دید پرایس اکشنی )"
"454938575,2025-01-08T07:32:34Z,1403/10/19 11:02,اسماعیل,esmaeil146,twit,#شصفها صبح اول وقت هیچ فروشنده زیر قیمت نبود و سهم مثبت معامله میشد یهو دستهای پشت پرده وارد شد و ۳۵۰ هزار سهم بدون درج در تابلو منفی ۲ معامله شد و سهم رو پایین کشیدند.ناظر باید ورود کنه ببینه پشت پرده چه خبره"
"454938567,2025-01-08T07:32:24Z,1403/10/19 11:02,hesamebrahimi,hesam49,twit,#دماوند بعد از شکست محدوده 1000 تومان رسما روند صعودی میشود بعد از 4 سال\n و تارگت 1950 تومان رو خواهیم داشت"
"454938563,2025-01-08T07:32:17Z,1403/10/19 11:02,tebyan,tebyann,twit,#فملی با افزایش قیمت پایه اکسید مولیبدون در بورس کالا از تنی 900 میلیون تومان به تنی یک میلیاردو صد میلیون تومان تا پایان سال تنی 200 میلیون تومان به ازاء فروش هر تن اکسید مولیبدون به درامد فملی اضافه میشود و این یعنی 400 میلیون درامد بیشتر برای فملی فقط برای یک محصول جانبی حالا شما تاثیر افزایش پایه محصولات اصلی رو حساب کنید"
