"453795524,2024-11-23T07:55:37Z,1403/09/03 11:25,کهن,kohan90,twit,#خودرو چند روز دیگه --------------------یه عده می گن کاش زیر 300 خریده بودیم (خاطره ها)"
"025c123b-114b-425a-83ce-fe582b739fc7,,,,,all,"
"453795519,2024-11-23T07:55:29Z,1403/09/03 11:25,علی اکبر,aak630,twit,#کاما انگار اعتبار خودش مهم نیست دمش به دم خودرو وصله اون میره بالا اینم میره اون میاد پایین اینم میاد پایین..بورس ایران اینحوریه یا همه جا اینجوریه..."
"453795510,2024-11-23T07:54:56Z,1403/09/03 11:24,Iskandar,alexander2024,twit,#شاخص_بورس \nدقت کردید لاریجانی فعال شده؟! \nوقتی کسانی مثل لاریجانی فعال میشن یعنی مذاکرات در سطح بالاتر از رئیس جمهور و وزیر اومور خارجی در جریانه."
"453795504,2024-11-23T07:54:47Z,1403/09/03 11:24,علی هاشمی,ali360025,twit,#پترول مقایسه فارس با فولاد*\nمارکت فارس ۶۸۲ همت\nمارکت فولاد ۴۶۵ همت \nسهم فارس بسیار بزرگتره و بازارگردان فارس علاوه بر نماد فارس نمادهای بزرگی مثل *پترول* و کلی زیر مجموعه های دیگه فارس رو بازارگردانی میکنه\nدر حالی که فولاد فقط یه نماد فولاد هست\nحالا فارس از اول سال ۳ درصد افت داشته و فولاد ۲۱ درصد\nبازارگردان فولاد این تفاوت رو چطوری توجیه میکنه"
"453795492,2024-11-23T07:54:20Z,1403/09/03 11:24,Nazi,sahrgh,twit,#ذوب آپشن ضذوب۹۰۱۳ بخرید این هفته یه ۲۰۰ درصد بگیرید نوش جونتون"
"453795489,2024-11-23T07:54:19Z,1403/09/03 11:24,کاوه صفرزاده,kaveh1355,quote,میبینی دوست گلم توی این بازار که اکثرا صف خرید هستن خساپا درگیره!\nربطی به مسائل دیگر نداره ، البته فعلا"
"453795476,2024-11-23T07:53:33Z,1403/09/03 11:23,ebi,jah01748,twit,#ولساپا زمانی فاز صعودی میگیره که ۱۱۰ به بالا تثبیت کنه"
"453795471,2024-11-23T07:53:15Z,1403/09/03 11:23,علیرضا,alirezaaarad,twit,#بفجر سلام کسی می‌دونه مبلغ حاصل از فروش حق تقدم های استفاده نشده امون کی واریز میشه ؟"
"453795460,2024-11-23T07:52:47Z,1403/09/03 11:22,جواد ,jaavadd,quote,هیچ کشوری اجازه نداده به این اندازه سرمایه مردمش از بازارهای کسب و کارش خارج بشه بره سمت ارزهای دیجیتال .\nحتی تو خود آمریکا و چین خرید این ارزها ممنوعه ( صندوقهای ای تی اف درست کرده اند سرمایه از کشورهاشون خارج نشه )\n\nالبته مستعمره ها تا اندازه ای استثنا بوده اند \n\nاین داستان هم آخرش قشنگه .\nخیلی از این ارزها هنوز در زیان های بالای 80 درصد هستند"
"453795457,2024-11-23T07:52:45Z,1403/09/03 11:22,ebi,jah01748,twit,#ولساپا تا زمانی که بالای ۱۱۰ تثبیت نداده وارد نشین که پولتون می‌خوابه بلند هم نمیشه"
