"454779641,2025-01-03T07:55:29Z,1403/10/14 11:25,ya hossein,rezaeh,twit,#مالک_آتیه امیدوارم سورپرایز بزرگ در راه مالک هم باشه"
"454779633,2025-01-03T07:55:22Z,1403/10/14 11:25,A7M2N,a7m2n,quote,#تاپیکو #شپنا #شبندر \nمدیرعامل گفته دولت پول بنزین نداده بعد شما داری برداشت میکنی که دولت بنزین را ۲ هزار حساب کرده؟\nمدیرعامل صحبتی از نرخ نکرده. نگفته مثلا قیمتش ۵۰ هزار هست ولی دولت با ما ۲ هزار حساب کرده\nولی شما الان طوری داری القا میکنی انگار همچین حرفی زده\nمدیرعامل گفته اینو گفته، نرخش ۵۰ هزار هست، فقط پولش هنوز نداده و ما در صورتهای مالی نیاوردیم، طلبکاریم\nالان شما باز بیا به نرخ ۵۰ هزار گیر بده 😁\nنفت با نرخ ۹۵٪ فوب بهشون میده و بنزین هم با نرخ ۹۵٪ فوب ازشون میخره"
"454779619,2025-01-03T07:54:31Z,1403/10/14 11:24,علی عباسی,aliabbasi,twit,قبل از پایان سال رو قیمت محدوده  2000 سود 200 حساب  کنید"
"454779604,2025-01-03T07:52:34Z,1403/10/14 11:22,امیر,farzan50,quote,#موج ؟"
"454779600,2025-01-03T07:52:13Z,1403/10/14 11:22,Danyal,danyal_ef,twit,#وبملت \n#بازار\n\nشاخص کل دی ماه ۱۴۰۲ : ۲.۱۷۰.۰۰۰\nدلار نیمایی: ۳۹.۵۰۰ تومان\n\nشاخص کل دی ماه ۱۴۰۳ : ۲.۷۸۰.۰۰۰\nدلار نیمایی: ۶۵.۰۰۰ تومان\n\nرشد شاخص کل: ۲۸درصد\nرشد دلار نیمایی: ۶۵درصد\nرشد شاخص هم وزن: ۱۲درصد!!!"
"454779595,2025-01-03T07:52:02Z,1403/10/14 11:22,امیر,farzan50,quote,#پالایش ؟"
"454779584,2025-01-03T07:51:07Z,1403/10/14 11:21,محمود,mahmmood2174,twit,#کفپارس تو کد به کدها وفروشنده توکلی بازیگر بخرید از بازیگر نه شخص"
"454779578,2025-01-03T07:50:36Z,1403/10/14 11:20,عباداله محمدی,kernoosh,quote,خخخخ بشین تا با این قیمت ها بهت سهم بدهن."
"454779575,2025-01-03T07:50:06Z,1403/10/14 11:20,بیمه زندگی هامرز,hummers1life,twit,#بهامرز \nسهامداران گرامی برای شرکت در فرایند تادیه سهام، لطفا موارد زیر را رعایت فرمایید:\nکد ملی: با عنایت به شناسه دار بودن حساب لطفاً هنگام پرداخت، کد ملی خود را به طور دقیق وارد نمایید. در صورت عدم وارد کردن کد ملی، مبلغ پرداختی به حساب شما بازگردانده خواهد شد.\nپرداخت بابت: انتخاب گزینه‌هایی مانند \"امور سهام و سرمایه‌گذاری\" باعث عودت وجه خواهد شد.\nمهلت پرداخت: آخرین مهلت برای شرکت در فرایند تادیه سهام تا تاریخ ۱۴ بهمن ماه است. در صورت عدم پرداخت تادیه کل یا بخشی از سهام، طبق قوانین مالکیت آن از شما سلب و در بورس عرضه خواهد شد.\nپورتال سهامداران: برای مشاهده جزئیات سهام خود و انجام سایر امور مربوطه، به پورتال سهامداران بیمه زندگی هامرز مراجعه نمایید.\nنحوه پرداخت: برای پرداخت، می‌توانید از طریق درگاه پرداخت آنلاین، مراجعه به شعب بانک یا واریز به حساب مشخص شده اقدام نمایید.\n\n\nبیمه زندگی هامرز\n                            تخصص مهم است ....."
"454779572,2025-01-03T07:49:53Z,1403/10/14 11:19,محمود,mahmmood2174,twit,#کفپارس الگو یکشنبه تشکیل می‌شود جهت ورود.فعلا 309 فرختیم.20 تومان پایینتریکشنبه جهت نوسان .همراه بازیگر"
